,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,age,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,position,season,steals,team,total_rebounds,turnovers
128,5.2,11.0,.477,1.6,4.7,.335,27,6.3,0.5,4.1,.485,.434,6.8,15.7,.847,5.9,6.9,66,66,33.0,Eric Bledsoe,0.8,2.5,21.1,PG,2016-17,1.4,PHO,4.8,3.4
129,4.6,8.5,.545,1.7,4.9,.347,28,5.0,0.6,3.1,.536,.473,6.3,13.4,.795,3.4,4.3,74,74,31.4,Eric Bledsoe,0.7,2.5,17.7,PG,2017-18,2.0,traded,3.8,2.9
130,4.4,7.6,.582,1.6,4.8,.329,29,5.5,0.4,3.6,.548,.484,6.0,12.4,.750,2.3,3.0,78,78,29.1,Eric Bledsoe,1.1,2.0,15.9,PG,2018-19,1.5,MIL,4.6,2.1
131,1.0,2.3,.444,0.6,2.6,.238,23,0.4,0.1,2.8,.397,.333,1.6,4.9,.889,1.0,1.1,8,2,12.3,Bonzie Colson,1.0,0.4,4.9,SF,2018-19,0.6,MIL,3.8,0.4
132,5.6,10.5,.536,1.8,5.2,.346,28,2.3,1.7,3.8,.531,.474,7.4,15.6,.810,3.9,4.9,75,75,29.6,Brook Lopez,1.6,2.6,20.5,C,2016-17,0.5,BRK,5.4,2.5
133,3.5,6.3,.549,1.5,4.4,.345,29,1.7,1.3,3.0,.536,.465,5.0,10.7,.703,1.5,2.1,74,72,23.4,Brook Lopez,1.0,2.6,13.0,C,2017-18,0.4,LAL,4.0,1.3
134,2.1,3.4,.613,2.3,6.3,.365,30,1.2,2.2,4.5,.571,.452,4.4,9.7,.842,1.4,1.6,81,81,28.7,Brook Lopez,0.4,2.3,12.5,C,2018-19,0.6,MIL,4.9,1.0
135,4.0,7.6,.523,1.9,4.8,.403,30,4.2,0.2,2.9,.554,.477,5.9,12.4,.801,3.2,4.0,49,49,31.5,George Hill,0.5,2.3,16.9,PG,2016-17,1.0,UTA,3.4,1.7
136,2.3,4.6,.490,1.3,3.1,.415,31,2.8,0.4,2.1,.543,.460,3.5,7.7,.786,1.6,2.1,67,60,27.0,George Hill,0.6,1.9,10.0,PG,2017-18,0.9,traded,2.7,1.3
137,2.0,3.7,.547,0.8,2.6,.314,32,2.3,0.1,1.8,.516,.452,2.8,6.3,.824,1.2,1.4,60,13,21.7,George Hill,0.7,1.7,7.6,PG,2018-19,0.9,traded,2.5,0.9
138,3.6,7.9,.459,1.6,3.6,.433,25,3.4,0.2,3.9,.518,.450,5.2,11.5,.880,2.8,3.2,29,23,30.7,Khris Middleton,0.4,2.7,14.7,SF,2016-17,1.4,MIL,4.2,2.2
139,5.5,10.5,.517,1.8,5.0,.359,26,4.0,0.3,4.7,.524,.466,7.2,15.5,.884,3.9,4.4,82,82,36.4,Khris Middleton,0.5,3.3,20.1,SF,2017-18,1.5,MIL,5.2,2.3
140,4.2,8.8,.485,2.3,6.2,.378,27,4.3,0.1,5.3,.519,.441,6.6,14.9,.837,2.8,3.4,77,77,31.1,Khris Middleton,0.6,2.2,18.3,SF,2018-19,1.0,MIL,6.0,2.3
141,4.7,9.5,.494,0.0,0.0,0,28,1.0,1.4,3.4,.493,.493,4.7,9.6,.721,0.9,1.3,81,81,28.0,Robin Lopez,3.0,1.9,10.4,C,2016-17,0.2,CHI,6.4,1.1
142,5.3,9.9,.536,0.1,0.2,.286,29,1.9,0.8,2.4,.533,.530,5.3,10.1,.756,1.1,1.4,64,64,26.4,Robin Lopez,2.1,1.7,11.8,C,2017-18,0.2,CHI,4.5,1.7
143,4.0,6.8,.589,0.1,0.4,.226,30,1.2,1.1,2.0,.575,.568,4.1,7.2,.724,1.2,1.7,74,36,21.7,Robin Lopez,1.9,1.7,9.5,C,2018-19,0.1,CHI,3.9,1.3
144,2.2,5.0,.432,2.4,6.6,.363,30,2.9,0.2,3.3,.496,.393,4.6,11.6,.816,2.0,2.5,73,73,34.2,Wesley Matthews,0.2,2.2,13.5,SG,2016-17,1.1,DAL,3.5,1.4
145,2.1,4.7,.441,2.4,6.4,.381,31,2.7,0.3,2.7,.516,.406,4.5,11.1,.822,1.3,1.6,63,62,33.8,Wesley Matthews,0.4,2.2,12.7,SF,2017-18,1.2,DAL,3.1,1.3
